cbsa,metro,state,population,median_household_income,median_gross_rent
27620,"Jefferson City, MO",Missouri,150733,72452,800
48660,"Wichita Falls, TX",Texas,149947,63845,949
10780,"Alexandria, LA",Louisiana,148171,56710,922
49020,"Winchester, VA-WV",Virginia,147260,84128,1275
43300,"Sherman-Denison, TX",Texas,146907,70455,1178
45500,"Texarkana, TX-AR",Texas,145907,56017,929
10500,"Albany, GA",Georgia,145508,57657,944
40580,"Rocky Mount, NC",North Carolina,145383,56598,888
19140,"Dalton, GA",Georgia,144722,65288,885
22380,"Flagstaff, AZ",Arizona,144472,69748,1406
43580,"Sioux City, IA-NE-SD",Iowa,144402,72034,975
30140,"Lebanon, PA",Pennsylvania,144252,76350,1087
34060,"Morgantown, WV",West Virginia,141817,62384,897
48140,"Wausau, WI",Wisconsin,138612,76185,950
25220,"Hammond, LA",Louisiana,138064,57256,974
25500,"Harrisonburg, VA",Virginia,137650,71522,1123
27860,"Jonesboro, AR",Arkansas,136390,55903,884
13900,"Bismarck, ND",North Dakota,135786,83473,1002
48540,"Wheeling, WV-OH",West Virginia,135517,58662,797
44220,"Springfield, OH",Ohio,134610,60846,840
12980,"Battle Creek, MI",Michigan,133366,60385,937
34900,"Napa, CA",California,133216,108970,2141
31740,"Manhattan, KS",Kansas,132831,64563,1069
10540,"Albany, OR",Oregon,131496,73396,1273
34580,"Mount Vernon-Anacortes, WA",Washington,131417,85474,1439
27780,"Johnstown, PA",Pennsylvania,130668,56292,733
41540,"Salisbury, MD",Maryland,129710,68943,1180
17420,"Cleveland, TN",Tennessee,129612,63293,919
21060,"Elizabethtown, KY",Kentucky,127576,67627,931
44420,"Staunton-Stuarts Draft, VA",Virginia,127344,72136,1029
30020,"Lawton, OK",Oklahoma,127001,59056,932
33540,"Missoula, MT",Montana,126939,70840,1110
38340,"Pittsfield, MA",Massachusetts,126818,72565,1042
14580,"Bozeman, MT",Montana,126409,87454,1574
24020,"Glens Falls, NY",New York,125427,75416,1046
11180,"Ames, IA",Iowa,125156,71287,978
31900,"Mansfield, OH",Ohio,125064,57649,791
48300,"Wenatchee-East Wenatchee, WA",Washington,124795,79048,1201
43420,"Sierra Vista-Douglas, AZ",Arizona,124640,58970,939
34100,"Morristown, TN",Tennessee,124054,57592,858
22140,"Farmington, NM",New Mexico,120675,53020,917
46300,"Twin Falls, ID",Idaho,120635,66183,980
41660,"San Angelo, TX",Texas,120606,66150,1124
29940,"Lawrence, KS",Kansas,120553,68756,1066
11020,"Altoona, PA",Pennsylvania,120273,60594,854
24140,"Goldsboro, NC",North Carolina,118686,58082,932
41140,"St. Joseph, MO-KS",Missouri,118475,63310,884
43100,"Sheboygan, WI",Wisconsin,117752,71898,889
11500,"Anniston-Oxford, AL",Alabama,116429,55826,804
15260,"Brunswick-St. Simons, GA",Georgia,116074,63454,978
48060,"Watertown-Fort Drum, NY",New York,114787,64978,1214
41780,"Sandusky, OH",Ohio,113838,70982,891
30340,"Lewiston-Auburn, ME",Maine,113765,67298,966
48260,"Weirton-Steubenville, WV-OH",Ohio,113544,57067,750
31020,"Longview-Kelso, WA",Washington,112864,72932,1169
48700,"Williamsport, PA",Pennsylvania,112724,64412,887
36980,"Owensboro, KY",Kentucky,112512,65744,882
34620,"Muncie, IN",Indiana,112321,56932,874
33140,"Michigan City-La Porte, IN",Indiana,111706,70452,926
13220,"Beckley, WV",West Virginia,111428,52271,822
42700,"Sebring, FL",Florida,107614,55581,980
38240,"Pinehurst-Southern Pines, NC",North Carolina,106898,82837,1181
23900,"Gettysburg, PA",Pennsylvania,106748,81071,1084
28100,"Kankakee, IL",Illinois,105940,68325,1075
31860,"Mankato, MN",Minnesota,104248,75165,1028
44940,"Sumter, SC",South Carolina,104165,55990,1006
22540,"Fond du Lac, WI",Wisconsin,103948,73154,926
27060,"Ithaca, NY",New York,103558,73012,1374
23460,"Gadsden, AL",Alabama,103241,53070,807
24220,"Grand Forks, ND-MN",North Dakota,103120,68652,933
13020,"Bay City, MI",Michigan,102500,60523,809
37140,"Paducah, KY-IL",Kentucky,102267,62337,851
16940,"Cheyenne, WY",Wyoming,100984,77884,1080
30620,"Lima, OH",Ohio,100838,62001,898
19500,"Decatur, IL",Illinois,100591,62449,797
40660,"Rome, GA",Georgia,100113,62540,971
26300,"Hot Springs, AR",Arkansas,99784,55409,942
20220,"Dubuque, IA",Iowa,98887,75919,944
47020,"Victoria, TX",Texas,98808,69339,1120
16020,"Cape Girardeau, MO-IL",Missouri,98223,66450,843
18700,"Corvallis, OR",Oregon,97713,76011,1359
25740,"Helena, MT",Montana,96091,73907,1031
21820,"Fairbanks-College, AK",Alaska,94840,84722,1424
38540,"Pocatello, ID",Idaho,90400,64080,879
25980,"Hinesville, GA",Georgia,88804,60278,1143
37620,"Parkersburg-Vienna, WV",West Virginia,88052,56108,777
24420,"Grants Pass, OR",Oregon,87821,59097,1157
24500,"Great Falls, MT",Montana,84900,66203,902
33220,"Midland, MI",Michigan,84039,77538,974
18020,"Columbus, IN",Indiana,84003,80365,1110
29020,"Kokomo, IN",Indiana,83831,62496,915
21300,"Elmira, NY",New York,81325,63469,1020
16220,"Casper, WY",Wyoming,79941,71247,973
24260,"Grand Island, NE",Nebraska,76479,67666,888
33500,"Minot, ND",North Dakota,75742,79275,978
30300,"Lewiston, ID-WA",Idaho,65536,70654,956
21420,"Enid, OK",Oklahoma,62023,67302,915
47460,"Walla Walla, WA",Washington,61568,72212,1113
16180,"Carson City, NV",Nevada,58036,71809,1172
20580,"Eagle Pass, TX",Texas,57762,51270,789
